월별일자,전년(거래량),금년(거래량),작년대비(거래량),전년(거래금액),금년(거래금액),작년대비(거래금액)
2020-01,33,25,23.53% ▼,121713,109027,10.42% ▼
2020-02,40,29,26.33% ▼,141390,92279,34.73% ▼
2020-03,36,14,61.09% ▼,105087,39241,62.66% ▼
2020-04,39,25,34.19% ▼,112533,70556,37.3% ▼
2020-05,48,37,23.03% ▼,178360,118326,33.66% ▼
2020-06,32,27,16.19% ▼,106253,77068,27.47% ▼
2020-07,33,25,24.95% ▼,66422,73211,10.22% ▲
2020-08,28,22,22.19% ▼,80474,81880,1.75% ▲
2020-09,35,18,47.94% ▼,122985,71463,41.89% ▼
2020-10,34,26,23.58% ▼,119197,90093,24.42% ▼
2020-11,36,24,31.61% ▼,113521,91982,18.97% ▼
2020-12,29,21,27.99% ▼,128502,86780,32.47% ▼
합계,428,298,30.39% ▼,1396442,1001911,28.25% ▼
